Epoch,Pitch,Roll,Yaw,Pulse1583618202.152147,b0\r\nb'0\r\n'
1583618203.135672,b686\r\nb'686\r\n'
1583618203.1563199,b0\r\nb'0\r\n'
1583618203.177139,b0\r\nb'0\r\n'
1583618203.198065,b401\r\nb'401\r\n'
1583618203.2188952,b686\r\nb'686\r\n'
1583618203.2396612,b0\r\nb'0\r\n'
1583618203.2605622,b0\r\nb'0\r\n'
1583618203.2814178,b385\r\nb'385\r\n'
1583618203.3022516,b686\r\nb'686\r\n'
1583618203.3234005,b0\r\nb'0\r\n'
1583618203.3442614,b0\r\nb'0\r\n'
1583618203.3651748,b373\r\nb'373\r\n'
1583618203.3860238,b685\r\nb'685\r\n'
1583618203.4067438,b0\r\nb'0\r\n'
1583618203.4276054,b0\r\nb'0\r\n'
1583618203.448114,b357\r\nb'357\r\n'
1583618203.4688807,b685\r\nb'685\r\n'
1583618203.4897273,b0\r\nb'0\r\n'
1583618203.5105133,b0\r\nb'0\r\n'
1583618203.5313861,b346\r\nb'346\r\n'
1583618203.5522273,b686\r\nb'686\r\n'
1583618203.5729914,b0\r\nb'0\r\n'
1583618203.5938165,b0\r\nb'0\r\n'
1583618203.6147497,b335\r\nb'335\r\n'
1583618203.6355414,b685\r\nb'685\r\n'
1583618203.6563108,b0\r\nb'0\r\n'
1583618203.6771429,b0\r\nb'0\r\n'
1583618203.6980524,b320\r\nb'320\r\n'
1583618203.7188628,b686\r\nb'686\r\n'
1583618203.739702,b0\r\nb'0\r\n'
1583618203.7604659,b0\r\nb'0\r\n'
1583618203.7813869,b310\r\nb'310\r\n'
1583618203.802223,b686\r\nb'686\r\n'
1583618203.8229837,b0\r\nb'0\r\n'
1583618203.8437958,b0\r\nb'0\r\n'
1583618203.8647988,b298\r\nb'298\r\n'
1583618203.8855572,b686\r\nb'686\r\n'
1583618203.9063258,b0\r\nb'0\r\n'
1583618203.927113,b0\r\nb'0\r\n'
1583618203.948058,b287\r\nb'287\r\n'
1583618203.9689035,b686\r\nb'686\r\n'
1583618203.9897115,b0\r\nb'0\r\n'
1583618204.0104566,b0\r\nb'0\r\n'
1583618204.031381,b274\r\nb'274\r\n'
1583618204.0522041,b686\r\nb'686\r\n'
1583618204.0729702,b0\r\nb'0\r\n'
1583618204.0937653,b0\r\nb'0\r\n'
1583618204.1147637,b263\r\nb'263\r\n'
1583618204.1355503,b686\r\nb'686\r\n'
1583618204.1562786,b0\r\nb'0\r\n'
1583618204.1770911,b0\r\nb'0\r\n'
1583618204.1980715,b250\r\nb'250\r\n'
1583618204.2188625,b686\r\nb'686\r\n'
1583618204.2397466,b0\r\nb'0\r\n'
1583618204.260433,b0\r\nb'0\r\n'
1583618204.2814,b234\r\nb'234\r\n'
1583618204.3022008,b686\r\nb'686\r\n'
1583618204.3229575,b0\r\nb'0\r\n'
1583618204.3438005,b0\r\nb'0\r\n'
1583618204.3647206,b224\r\nb'224\r\n'
1583618204.385501,b685\r\nb'685\r\n'
1583618204.4062886,b0\r\nb'0\r\n'
1583618204.4271123,b0\r\nb'0\r\n'
1583618204.4480135,b215\r\nb'215\r\n'
1583618204.4688396,b685\r\nb'685\r\n'
1583618204.4896944,b0\r\nb'0\r\n'
1583618204.5104425,b0\r\nb'0\r\n'
1583618204.5313826,b207\r\nb'207\r\n'
1583618204.552202,b685\r\nb'685\r\n'
1583618204.5729413,b0\r\nb'0\r\n'
1583618204.593775,b0\r\nb'0\r\n'
1583618204.614747,b197\r\nb'197\r\n'
1583618204.6355166,b686\r\nb'686\r\n'
1583618204.6562824,b0\r\nb'0\r\n'
1583618204.6770978,b0\r\nb'0\r\n'
1583618204.698016,b185\r\nb'185\r\n'
1583618204.7188258,b684\r\nb'684\r\n'
1583618204.7399042,b0\r\nb'0\r\n'
1583618204.7604332,b0\r\nb'0\r\n'
1583618204.7813907,b175\r\nb'175\r\n'
1583618204.8021927,b686\r\nb'686\r\n'
1583618204.8229518,b0\r\nb'0\r\n'
1583618204.8437662,b0\r\nb'0\r\n'
1583618204.8646762,b164\r\nb'164\r\n'
1583618204.8855207,b685\r\nb'685\r\n'
1583618204.906266,b0\r\nb'0\r\n'
1583618204.927086,b0\r\nb'0\r\n'
1583618204.9480293,b152\r\nb'152\r\n'
1583618204.9688902,b685\r\nb'685\r\n'
1583618204.9896977,b0\r\nb'0\r\n'
1583618205.0108511,b0\r\nb'0\r\n'
1583618205.031326,b144\r\nb'144\r\n'
1583618205.052613,b686\r\nb'686\r\n'
1583618205.0729134,b0\r\nb'0\r\n'
1583618205.094233,b0\r\nb'0\r\n'
1583618205.1151536,b134\r\nb'134\r\n'
1583618205.135946,b684\r\nb'684\r\n'
1583618205.1566994,b0\r\nb'0\r\n'
1583618205.177581,b0\r\nb'0\r\n'
1583618205.1984556,b125\r\nb'125\r\n'
1583618205.2193801,b685\r\nb'685\r\n'
1583618205.2400968,b0\r\nb'0\r\n'
1583618205.260854,b0\r\nb'0\r\n'
1583618205.2817671,b118\r\nb'118\r\n'
1583618205.3026383,b686\r\nb'686\r\n'
1583618205.3233736,b0\r\nb'0\r\n'
1583618205.3443043,b0\r\nb'0\r\n'
1583618205.3651047,b106\r\nb'106\r\n'
1583618205.385958,b686\r\nb'686\r\n'
1583618205.4066803,b0\r\nb'0\r\n'
1583618205.4275358,b0\r\nb'0\r\n'
1583618205.4484313,b95\r\nb'95\r\n'
1583618205.4693713,b687\r\nb'687\r\n'
1583618205.4901543,b278\r\nb'278\r\n'
1583618205.5108638,b0\r\nb'0\r\n'
1583618205.5317914,b432\r\nb'432\r\n'
1583618205.552584,b686\r\nb'686\r\n'
1583618205.573379,b0\r\nb'0\r\n'
1583618205.5942497,b0\r\nb'0\r\n'
1583618205.6150975,b415\r\nb'415\r\n'
1583618205.6359527,b685\r\nb'685\r\n'
1583618205.6566896,b0\r\nb'0\r\n'
1583618205.6775234,b0\r\nb'0\r\n'
1583618205.6984274,b406\r\nb'406\r\n'
1583618205.719252,b686\r\nb'686\r\n'
1583618205.7400901,b0\r\nb'0\r\n'
1583618205.7608538,b0\r\nb'0\r\n'
1583618205.781764,b389\r\nb'389\r\n'
1583618205.8025954,b686\r\nb'686\r\n'
1583618205.8233714,b0\r\nb'0\r\n'
1583618205.844166,b0\r\nb'0\r\n'
1583618205.8650796,b379\r\nb'379\r\n'
1583618205.8857026,b685\r\nb'685\r\n'
1583618205.9064126,b0\r\nb'0\r\n'
1583618205.9272628,b0\r\nb'0\r\n'
1583618205.9481745,b364\r\nb'364\r\n'
1583618205.9689941,b685\r\nb'685\r\n'
1583618205.9898012,b0\r\nb'0\r\n'
1583618206.01093,b0\r\nb'0\r\n'
1583618206.0317633,b351\r\nb'351\r\n'
1583618206.052574,b686\r\nb'686\r\n'
1583618206.0733695,b0\r\nb'0\r\n'
1583618206.0941734,b0\r\nb'0\r\n'
1583618206.115076,b341\r\nb'341\r\n'
1583618206.135933,b686\r\nb'686\r\n'
1583618206.156667,b0\r\nb'0\r\n'
