1583616243.9596336,x02x9ax92xaaxax02x8axc2xa2xc2x92j
1583616248.0970905,18.21, -160.99, 228.31
1583616248.1220849,17.11, -155.82, 226.05
1583616248.1470969,17.92, -153.37, 224.43
1583616248.1720943,20.67, -152.42, 223.67
1583616248.1971014,24.80, -150.64, 223.84
1583616248.2220702,26.70, -150.68, 220.69
1583616248.2470868,27.38, -153.55, 214.24
1583616248.2720892,25.71, -164.73, 201.29
1583616248.2960536,21.25, 179.04, 183.44
1583616248.3199947,12.84, 166.81, 165.49
1583616248.3429196,1.53, 157.67, 147.71
1583616248.3668964,-8.75, 153.00, 132.37
1583616248.3918626,-14.96, 152.59, 119.88
1583616248.416891,-13.66, 159.29, 119.24
1583616248.4408314,-7.45, 169.71, 134.31
1583616248.4658225,-2.77, -178.79, 160.42
1583616248.489818,0.21, -171.89, 190.70
1583616248.5147743,-0.65, -171.54, 219.68
1583616248.5398085,-0.73, -176.04, 246.76
1583616248.5626929,4.29, 175.54, 265.32
1583616248.5856595,9.67, 169.14, 276.20
1583616248.6098478,10.15, 160.63, 277.40
1583616248.6324813,5.14, 150.92, 271.02
1583616248.6564589,-7.65, 145.00, 262.11
1583616248.6814837,-29.44, 141.43, 251.33
1583616248.706479,-58.67, 139.17, 242.10
1583616248.7314405,-89.45, 148.93, 222.86
1583616248.7554185,-63.69, -42.60, 44.95
1583616248.779386,-43.95, -41.03, 36.28
1583616248.8033342,-35.25, -38.03, 29.78
1583616248.827264,-35.91, -35.93, 24.13
1583616248.8512273,-42.59, -31.04, 18.28
1583616248.874158,-55.21, -19.37, 7.20
1583616248.8981237,-67.99, 18.66, 330.37
1583616248.9220505,-57.95, 76.19, 275.85
1583616248.9459965,-36.65, 94.77, 260.72
1583616248.9699996,-24.34, 96.56, 258.15
1583616248.9939225,-29.98, 92.52, 257.96
1583616249.0179179,-41.70, 88.65, 262.41
1583616249.0418782,-52.75, 83.61, 273.93
1583616249.0657997,-63.41, 71.18, 292.76
1583616249.0897927,-70.78, 41.60, 327.41
1583616249.111691,-68.16, 11.67, 1.09
1583616249.1324782,-63.03, 3.42, 9.24
1583616249.1532836,-58.36, 3.56, 9.19
1583616249.1741822,-55.06, 8.66, 5.14
1583616249.1960452,-51.96, 11.66, 1.89
1583616249.2178793,-49.87, 12.50, 1.13
1583616249.2398348,-48.49, 13.42, 0.70
1583616249.2637377,-47.30, 15.68, 359.26
1583616249.287728,-46.06, 18.93, 356.88
1583616249.311651,-44.83, 20.34, 355.86
1583616249.3356543,-44.08, 19.22, 356.75
1583616249.359599,-43.77, 19.00, 356.96
1583616249.3835332,-43.34, 19.81, 356.19
1583616249.4074314,-42.93, 19.94, 355.68
1583616249.431435,-42.81, 19.47, 355.63
1583616249.455394,-43.25, 19.00, 355.20
1583616249.4793553,-43.78, 19.66, 353.78
1583616249.5032916,-44.37, 20.50, 352.15
1583616249.5272477,-46.75, 20.56, 350.21
1583616249.5512028,-49.39, 22.00, 347.86
1583616249.5752156,-51.67, 23.85, 345.54
1583616249.5990984,-55.80, 23.89, 343.96
1583616249.6230795,-66.56, 22.29, 341.23
1583616249.6470513,-82.20, 21.52, 336.61
1583616249.673391,-75.11, -170.37, 162.79
1583616249.6994045,-50.72, -166.39, 157.69
1583616249.7254791,-25.90, -161.89, 158.75
1583616249.750448,-4.41, -157.73, 163.90
1583616249.7754512,10.14, -148.52, 170.15
1583616249.800443,18.49, -137.73, 177.73
1583616249.8254611,25.59, -130.52, 185.06
1583616249.8504515,30.14, -124.84, 190.33
1583616249.8754287,32.00, -118.94, 195.77
1583616249.900458,31.49, -114.16, 198.79
1583616249.925454,31.22, -111.15, 200.51
1583616249.9504483,31.37, -108.80, 201.49
1583616249.9754527,31.86, -107.43, 201.45
1583616250.0004373,32.06, -105.76, 201.21
1583616250.025411,32.23, -104.18, 200.70
1583616250.0504432,32.17, -102.99, 200.32
1583616250.0754395,32.07, -102.62, 200.12
1583616250.100434,32.06, -102.52, 199.86
1583616250.1254451,32.17, -101.96, 199.63
1583616250.150424,32.42, -101.39, 199.48
1583616250.1754375,32.55, -101.08, 199.26
1583616250.2004447,32.65, -101.10, 199.00
1583616250.22544,32.64, -101.40, 198.61
1583616250.2504308,32.50, -101.61, 198.03
1583616250.2749965,32.46, -101.71, 197.55
1583616250.3000164,32.62, -101.96, 197.45
1583616250.3254452,32.76, -102.38, 197.38
1583616250.3504457,32.90, -102.78, 197.31
1583616250.3754337,32.92, -102.93, 197.22
1583616250.4004238,33.03, -102.91, 197.09
1583616250.4254282,33.32, -103.02, 197.13
1583616250.4504077,33.47, -103.24, 197.28
1583616250.4753947,33.56, -103.17, 197.30
1583616250.5004237,33.66, -102.94, 197.33
1583616250.5254195,33.68, -102.76, 197.37
