1583615969.8007033
1583615971.4271007-61.78, 156.48, 35.41
1583615971.4510837-68.02, 146.33, 43.42
1583615971.4749727-72.38, 144.14, 47.46
1583615971.4988077-73.16, 154.01, 46.30
1583615971.5229146-70.60, 176.21, 37.13
1583615971.5478947-68.93, -169.98, 31.56
1583615971.5729694-70.64, -167.94, 31.74
1583615971.5978725-70.17, -170.69, 36.22
1583615971.6229155-68.13, -175.27, 43.19
1583615971.647907-64.40, -176.93, 47.39
1583615971.6729195-61.84, -173.66, 48.33
1583615971.6978142-59.38, -167.97, 49.63
1583615971.7229187-56.75, -164.81, 52.46
1583615971.7479124-53.49, -159.63, 56.53
1583615971.7729008-49.90, -154.12, 62.72
1583615971.7978983-47.28, -148.78, 71.49
1583615971.8228362-46.11, -143.91, 79.75
1583615971.8477068-46.07, -142.09, 85.88
1583615971.8726685-46.85, -141.28, 88.80
1583615971.8981526-47.98, -138.65, 89.43
1583615971.922506-48.87, -137.69, 90.34
1583615971.9474707-50.06, -137.40, 90.28
1583615971.9724665-51.73, -136.52, 89.30
1583615971.9974713-55.33, -135.42, 88.01
1583615972.022442-59.31, -136.61, 89.48
1583615972.0474544-62.36, -141.51, 95.96
1583615972.0735114-64.42, -145.62, 100.23
1583615972.0996685-64.98, -150.17, 103.74
1583615972.12583-63.66, -155.00, 107.62
1583615972.1518877-60.25, -161.20, 111.07
1583615972.1781433-55.88, -167.42, 112.95
1583615972.2041507-53.20, -170.06, 113.17
1583615972.2302105-50.03, -173.70, 113.00
1583615972.256022-47.87, -175.16, 111.98
1583615972.2818608-46.22, -177.62, 109.53
1583615972.3079011-44.21, -179.04, 106.24
1583615972.3328824-43.22, 178.85, 102.91
1583615972.3578775-39.11, -179.79, 98.56
1583615972.382873-38.83, -176.96, 96.45
1583615972.407886-38.58, -175.35, 94.88
1583615972.432981-37.38, -174.81, 94.01
1583615972.458028-37.30, -174.72, 93.12
1583615972.4830315-36.77, -173.06, 92.53
1583615972.5080194-35.66, -174.70, 92.92
1583615972.5330117-34.34, -174.82, 92.92
1583615972.5580158-33.43, -174.03, 93.00
1583615972.5830162-32.38, -173.14, 93.18
1583615972.6080027-31.08, -172.58, 93.43
1583615972.633035-30.25, -172.52, 93.41
1583615972.6580238-30.22, -172.36, 92.73
1583615972.6828732-30.47, -173.24, 91.92
1583615972.7078698-30.35, -174.45, 91.20
1583615972.7328653-30.12, -174.54, 90.82
1583615972.757839-30.13, -173.50, 90.23
1583615972.7828336-30.33, -172.81, 90.20
1583615972.8078446-31.67, -171.70, 90.11
1583615972.832835-32.44, -171.28, 90.39
1583615972.857843-33.25, -171.55, 90.80
1583615972.882838-33.89, -172.57, 91.27
1583615972.9078577-34.14, -175.41, 92.44
1583615972.9328299-33.88, -179.30, 93.68
1583615972.9568353-33.52, 176.40, 94.56
1583615972.9807909-32.86, 172.13, 94.60
1583615973.0048149-32.08, 167.55, 93.91
1583615973.0287204-31.39, 160.48, 93.86
1583615973.0526285-30.52, 151.70, 93.35
1583615973.076596-29.73, 140.14, 92.35
1583615973.1005914-30.48, 126.70, 89.68
1583615973.124519-31.46, 111.50, 90.69
1583615973.1474495-32.49, 93.76, 93.22
1583615973.1703296-33.12, 76.60, 98.59
1583615973.1942964-30.33, 57.63, 104.35
1583615973.2182608-23.53, 40.47, 108.43
1583615973.2422142-14.34, 26.93, 111.66
1583615973.2651358-6.10, 19.09, 115.65
1583615973.28698423.20, 11.76, 118.05
1583615973.30886310.20, 6.47, 118.56
1583615973.330865615.97, 2.08, 117.88
1583615973.352710220.12, 0.21, 116.98
